id,produto,price,date,fabricante
1,Wine - Piper Heidsieck Brut,66,04.06.2024,Innotype
2,"Wine - Red, Mouton Cadet",14,23.11.2024,Gigabox
3,"Wine - White, Riesling, Henry Of",66,26.03.2024,Realcube
4,"Cup - 6oz, Foam",45,26.03.2025,Linkbridge
5,Breadfruit,76,12.12.2024,Youbridge
6,Chips Potato All Dressed - 43g,144,11.02.2025,Dynabox
7,Rice - 7 Grain Blend,11,02.09.2023,Eamia
8,Coffee Swiss Choc Almond,43,25.02.2024,Jaloo
9,Venison - Racks Frenched,3,25.05.2024,Vidoo
10,Turkey - Ground. Lean,97,22.02.2024,Skinix
11,Beer - Upper Canada Lager,185,08.01.2025,Realcube
12,Cookie - Dough Variety,103,30.07.2024,Tagpad
13,Energy Drink - Franks Original,23,07.02.2024,Realfire
14,"Oranges - Navel, 72",73,08.03.2024,Skyndu
15,"Chocolate - Semi Sweet, Calets",100,14.08.2024,Roombo
16,"Nut - Almond, Blanched, Whole",159,29.06.2024,Livetube
17,Longos - Cheese Tortellini,44,27.10.2023,Leexo
18,"Bag - Bread, White, Plain",47,22.04.2024,Realcube
19,"Coffee - Beans, Whole",179,11.01.2025,Blognation
20,Bread - Onion Focaccia,155,28.11.2024,Wikivu
21,Mustard - Dijon,102,29.12.2023,Skalith
22,Appetizer - Veg Assortment,4,10.02.2025,Topiclounge
23,Corn Meal,126,08.12.2023,Photofeed
24,Puree - Raspberry,13,22.02.2024,Tagpad
25,Rhubarb,73,14.05.2024,Gabtune
26,"Pepper - Paprika, Spanish",86,02.12.2024,Divavu
27,Wine - Cotes Du Rhone Parallele,125,14.09.2023,Wikido
28,"Trout - Hot Smkd, Dbl Fillet",6,27.04.2024,Layo
29,Milk - Homo,82,01.08.2024,Zoonoodle
30,Cheese - Le Cru Du Clocher,108,01.11.2024,Twimm
31,"Beef - Ground, Extra Lean, Fresh",88,14.01.2024,Dynava
32,Garam Marsala,43,17.08.2024,Gigabox
33,Cumin - Whole,156,18.11.2023,Roomm
34,Soup - Campbells Asian Noodle,53,02.02.2024,Feednation
35,Calaloo,197,13.06.2024,Quamba
36,Mints - Striped Red,179,20.01.2024,Gigaclub
37,"Juice - Cranberry, 341 Ml",177,25.02.2024,Chatterbridge
38,"Yogurt - Banana, 175 Gr",145,10.06.2024,Chatterbridge
39,Vinegar - Raspberry,173,11.04.2024,Twimbo
40,"Bread - Pita, Mini",79,29.03.2025,Mudo
41,Cod - Black Whole Fillet,20,12.10.2024,Quaxo
42,Table Cloth 72x144 White,138,31.10.2024,Shufflebeat
43,Beer - Sleemans Cream Ale,82,06.09.2024,Browsedrive
44,Extract - Lemon,20,28.03.2025,Janyx
